Grupo de idade;Estado;2012;2013;2014;2015;2016;2017;2018;2019;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14 a 17 anos;Acre;20,8;19,2;16,4;16,9;25,7;30,3;36,5;34,2;30,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14 a 17 anos;Alagoas;25,4;23;26;34,8;40;34,5;48,6;39,1;59,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14 a 17 anos;Amapá;28,6;20,9;13,2;44,6;37;50,4;54;35,4;20,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14 a 17 anos;Amazonas;16,7;18,6;17,5;20,5;30,6;19,4;24,2;25;26,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14 a 17 anos;Bahia;21,8;21,9;21,4;32,1;43,6;42;52,7;41,7;53,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14 a 17 anos;Ceará;17,7;12,4;16;24,9;35,7;28,8;41,9;22,3;37,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14 a 17 anos;Distrito Federal;40,6;34,5;47,4;47;57,4;65,3;51;62,4;64,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14 a 17 anos;Espírito Santo;23,7;22,9;22,8;30,6;46,8;44,1;39,5;43,8;44,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14 a 17 anos;Goiás;15;16,5;19,9;27,1;39,7;38;42,4;49,6;50,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14 a 17 anos;Maranhão;14,6;8,4;12,8;13,7;24,6;20,5;28,9;23,3;30,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14 a 17 anos;Mato Grosso do Sul;16,9;15,2;11,7;26,3;24,5;34;30,7;22,7;27,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14 a 17 anos;Mato Grosso;13,7;12,4;17,3;16,8;30,3;21,5;28,4;26,1;31,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14 a 17 anos;Minas Gerais;22,6;21,8;27,3;30,1;38,5;37,7;35,4;34,7;44,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14 a 17 anos;Pará;11,7;8,2;12,4;16,6;25,7;21,9;24,5;18,3;20,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14 a 17 anos;Paraíba;24,5;21,3;18,4;20,7;30,5;31,4;40;46,4;45,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14 a 17 anos;Paraná;16,2;14,1;13,8;25;36,4;34,4;31,8;38,3;35,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
